input: User; 주변의 상리경로당 업종이 어떻게 돼? 또, 밤늦게까지 영업도 할 수 있어?     output: SELECT category,hours24 FROM poi WHERE name='상리경로당' ORDER BY distance ASC;    pred: SELECT category,hours24 FROM poi WHERE name='상리경로당' ORDER BY distance ASC;    similar:[[1.]]
input: User; 서울특별시 종로구 숭인동 부동산 어디에 있을까?     output: SELECT * FROM poi WHERE category='부동산' and siDo='서울특별시' and siGunGu='종로구' and eupMyeonDong='숭인동';    pred: SELECT * FROM poi WHERE category='부동산' and siDo='서울특별시' and siGunGu='종로구' and eupMyeonDong='숭인동'    similar:[[1.]]
input: User; 하대원동 당구장 영업하는지와 유모차렌탈과 발렛파킹이랑 배달과 전화번호랑 주차요금을 좀 검색해봐     output: SELECT closedToday,strollerRental,valetParkingService,deliveryService,representationNumber,parkingPrice FROM poi WHERE category='당구장' and eupMyeonDong='하대원동';    pred: SELECT closedToday,strollerRental,valetParkingService,deliveryService,representationNumber,parkingPrice FROM poi WHERE category='당구장' and eupMyeonDong='하대원동'    similar:[[1.]]
input: User; 가까운 북스북스 주소 가르쳐줘. 추가로 할인이 돼?     output: SELECT address,discountInfo FROM poi WHERE name='북스북스' ORDER BY distance ASC;    pred: SELECT address,discountInfo FROM poi WHERE name='북스북스' ORDER BY distance ASC;    similar:[[1.]]
input: User; 가람로 20 미래부동산 장애인시설 있고 애완동물 동반이 되고 유모차렌탈이 되고 주차장이 있고 세차가 되고 예약이 되면 위치 좀 뽑아봐     output: SELECT location FROM poi WHERE name='미래부동산' and street='가람로' and streetNumber='20' and disabledService=true and petService=true and strollerRental=true and parkingService=true and washingService=true and reservationService=true;    pred: SELECT location FROM poi WHERE name='미래부동산' and street='가람로' and streetNumber='20' and disabledService=true and petService=true and strollerRental=true and parkingService=true and washingService=true and reservationService=true    similar:[[1.]]
input: User; 대전광역시 서구 도마동 도마19길 대명아트빌 할인 여부랑 카테고리랑 하루종일 영업을 하고 단체석 여부는?     output: SELECT discountInfo,category,hours24,groupService FROM poi WHERE name='대명아트빌' and siDo='대전광역시' and siGunGu='서구' and eupMyeonDong='도마동' and street='도마19길';    pred: SELECT discountInfo,category,hours24,groupService FROM poi WHERE name='대명아트빌' and siDo='대전광역시' and siGunGu='서구' and eupMyeonDong='도마동' and street='도마19길'    similar:[[1.]]
input: User; 가장 가까운 분식 유모차대여랑 세차서비스랑 드라이브쓰루와 포장이랑 자동차정비와 발렛파킹이 가능해?     output: SELECT strollerRental,washingService,driveThruService,packagingService,maintainService,valetParkingService FROM poi WHERE category='분식' ORDER BY distance ASC;    pred: SELECT strollerRental,washingService,driveThruService,packagingService,maintainService,valetParkingService FROM poi WHERE category='분식' ORDER BY distance ASC;    similar:[[1.]]
input: User; 전주순대국 유모차렌탈과 할인정보랑 차량정비랑 주차랑 휴일을 찾아봐     output: SELECT strollerRental,discountInfo,maintainService,parkingService,holidays FROM poi WHERE name='전주순대국';    pred: SELECT strollerRental,discountInfo,maintainService,parkingService,holidays FROM poi WHERE name='전주순대국'    similar:[[1.]]
input: User; 고등동 고등로 15 끌림헤어 주소와 배달 가능한지 좀 알려줄래     output: SELECT address,deliveryService FROM poi WHERE name='끌림헤어' and eupMyeonDong='고등동' and street='고등로' and streetNumber='15';    pred: SELECT address,deliveryService FROM poi WHERE name='끌림헤어' and eupMyeonDong='고등동' and street='고등로' and streetNumber='15'    similar:[[1.]]
input: User; 충청북도 영동군 화수정 유모차대여 할 수 있는지 얘기해줘. 추가로 단체석이용 가능해?     output: SELECT strollerRental,groupService FROM poi WHERE name='화수정' and siDo='충청북도' and siGunGu='영동군';    pred: SELECT strollerRental,groupService FROM poi WHERE name='화수정' and siDo='충청북도' and siGunGu='영동군';    similar:[[1.]]
input: User; 서천군 마동마을 쉬는날이랑 주차장 이용과 유모차대여와 배달이 되는지 검색해줘     output: SELECT holidays,parkingService,strollerRental,deliveryService FROM poi WHERE name='마동마을' and siGunGu='서천군';    pred: SELECT holidays,parkingService,strollerRental,deliveryService FROM poi WHERE name='마동마을' and siGunGu='서천군'    similar:[[1.]]
input: User; 강원도 정선군 정선읍 봉양7길 삼우주택 티비 방영을 했는지 추천해줄래. 또, 예약되는지 알려줘봐     output: SELECT tvAirInfos,reservationService FROM poi WHERE name='삼우주택' and siDo='강원도' and siGunGu='정선군' and eupMyeonDong='정선읍' and street='봉양7길';    pred: SELECT tvAirInfos,reservationService FROM poi WHERE name='삼우주택' and siDo='강원도' and siGunGu='정선군' and eupMyeonDong='정선읍' and street='봉양7길'    similar:[[1.]]
input: User; 소형법인명 장애인 편의시설과 휴일이랑 입장료랑 자동차수리가 되는지 가르쳐줘     output: SELECT disabledService,holidays,price,maintainService FROM poi WHERE category='소형법인명';    pred: SELECT disabledService,holidays,price,maintainService FROM poi WHERE category='소형법인명';    similar:[[1.]]
input: User; 전곡산단로 가장 가까운 소형법인명 가격이랑 읍면동이랑 브랜치랑 예약 여부랑 발렛 유무랑 명칭은?     output: SELECT price,eupmyeondong,branch,reservationService,valetParkingService,name FROM poi WHERE category='소형법인명' and street='전곡산단로' ORDER BY distanceNearPlace ASC;    pred: SELECT price,eupmyeondong,branch,reservationService,valetParkingService,name FROM poi WHERE category='소형법인명' and street='전곡산단로' ORDER BY distanceNearPlace ASC    similar:[[1.]]
input: User; 유네스코 세계문화유산이고 드라이브쓰루와 유모차렌탈이랑 배달을 할 수 있는 중구 성안동 백양로 179 대한건설협회 말해봐     output: SELECT * FROM poi WHERE name='대한건설협회' and siGunGu='중구' and eupMyeonDong='성안동' and street='백양로' and streetNumber='179' and UNESCOHeritage=true and driveThruService=true and strollerRental=true and deliveryService=true;    pred: SELECT * FROM poi WHERE name='대한건설협회' and siGunGu='중구' and eupMyeonDong='성안동' and street='백양로' and streetNumber='179' and UNESCOHeritage=true and driveThruService=true and strollerRental=true and deliveryService=true    similar:[[1.]]
input: User; 중들 중 통진읍 제외하고 다른 지역에 위치한 곳을 말해봐     output: SELECT * FROM poi WHERE eupMyeonDong!='통진읍' and category='중';    pred: SELECT * FROM poi WHERE eupMyeonDong!='통진읍' and category='중'    similar:[[1.]]
